가게명,대분류,중분류,소분류,mean_score,주소,Latitude,Longitude
춘미향,식당,한식,"벵에돔, 두루치기",3.2,제주특별자치도 서귀포시 안덕면 사계리 2674-1,33.2313355,126.2964001
산도롱 맨도롱,식당,한식,"갈비국수, 고기국수",3.1,제주특별자치도 제주시 구좌읍 종달리 484-1,33.4921891,126.9097197
공천포식당,식당,한식,"한치물회, 물회",3.1,제주도 서귀포시 남원읍 신례리 27-5,33.2664055,126.6426731
마농치킨,식당,한식,마늘치킨,3.1,제주특별자치도 서귀포시 서귀동 278-10,33.2504227,126.5629266
협재해녀의집,식당,한식,해물라면,3.1,제주특별자치도 제주시 한림읍 협재리 1459-2,33.3988321,126.2440116
고객식당,식당,한식,갈치조림,3.1,제주도 제주시 이도1동 1436-7 동문시장 내 1층,33.5115818,126.526099
풍원,식당,한식,"한라산 볶음밥, 한치주물럭",3.1,제주특별자치도 제주시 우도면 연평리 2427-1,33.508338,126.9441293
신설오름,식당,한식,"몸국, 돔베고기",3.0,제주 제주시 일도2동 409-5,33.505459,126.5416299
우정회센타,식당,한식,"공치김밥, 고등어회",3.0,제주도 서귀포시 서귀동 276-6,33.2493117,126.5631433
협재칼국수,식당,한식,"보말칼국수, 칼국수",3.0,제주특별자치도 제주시 한림읍 협재리 1908-2,33.3968233,126.2445723
벵디,식당,한식,"돌문어덮밥, 흑돼지간장덮밥",3.0,제주특별자치도 제주시 구좌읍 평대리 2031-2,33.5377667,126.8372139
오조 해녀의 집,식당,한식,전복죽,3.0,제주특별자치도 서귀포시 성산읍 오조리 3,33.4698069,126.9223318
모살물,식당,한식,"객주리조림, 횟집",3.0,제주특별자치도 제주시 연동 291-10,33.4904731,126.4945135
그리운바다 성산포,식당,일식,"고등어회, 갈치회",3.0,제주특별자치도 서귀포시 성산읍 성산리 360-10,33.4697602,126.9300546
카페 공작소,카페,,,3.0,제주특별자치도 제주시 구좌읍 세화리 1477-4,33.5246648,126.8599306
산방산초가집,식당,한식,전복해물전골,3.0,제주특별자치도 서귀포시 안덕면 화순리 421-1,33.2455947,126.3387238
월정리갈비밥,식당,한식,"갈비, 갈비밥",3.0,제주특별자치도 제주시 구좌읍 월정리 8-1,33.5548185,126.7969015
저팔계 깡통연탄구이,식당,한식,"흑돼지, 생오겹살",3.0,제주특별자치도 제주시 조천읍 함덕리 1271,33.541698,126.666754
가시식당,식당,한식,"몸국, 두루치기",3.0,제주도 서귀포시 표선면 가시리 1898,33.3530664,126.7713119
닐모리 동동,카페,,,3.0,제주도 제주시 용담3동 2396 (오다펜션 1F),33.5176911,126.4877067
사랑분식,식당,한식,"모닥치기, 떡볶이",3.0,제주특별자치도 제주시 일도1동 1144-2,33.512638,126.5281163
연미정,식당,한식,전복돌솥밥,3.0,제주특별자치도 제주시 구좌읍 세화리 3648-4,33.5244604,126.8536124
잠녀해녀촌,식당,한식,"성게보말죽, 소라물회",3.0,제주특별자치도 제주시 조천읍 함덕리 3150-2,33.5465655,126.6596397
88버거,식당,양식,수제버거,2.9,제주특별자치도 서귀포시 서귀동 255-9,33.2492549,126.5672067
살롱 드 라방,카페,,,2.9,제주특별자치도 제주시 애월읍 하가리 1415,33.4578708,126.3490061
성읍 칠십리식당,식당,한식,"흑돼지, 꿩",2.9,제주특별자치도 서귀포시 표선면 성읍리 580,33.4112985,126.7819256
제주시새우리,식당,한식,"딱새우, 전복김밥",2.9,제주특별자치도 제주시 삼도2동 1098-3,33.5146713,126.5205015
다정이네,식당,한식,"김밥, 멸치김밥, 분식",2.9,제주특별자치도 서귀포시 서귀동 255-7,33.2494552,126.5669792
파도소리해녀촌,식당,한식,"보말칼국수, 보말죽",2.8,제주특별자치도 제주시 우도면 874-2,33.5064911,126.953361
